Id;nome;descricao
122192;SOLDA FIO 60X40 189M10;
237349;SOLDA BARRA BA VACULOY 60X40;
242080;SOLDA FIO 63X37 183M05;
288995;PASTA SOLDA ALPHA OM-5300;
316296;GRAXA DE SILICONE 340 HSC;
317887;CAP CERA 103 K 50V X7R 1608;
318270;CIRC INT CW1117CB-3.3V-SOT223;
318341;CIRC INT ME9435A-SOP8 SMD;
318519;DIODO LED INFRA HIR305B;
318546;DIODO SIN BAV99 PHILIPS SMD;
318555;DIODO SIN BAV99 SMD;
318680;PLUG 4P D2006-4A;
318822;RES META 10R J 1/16W 1608TSMD;
319117;RES META 4R7 J 1/8W 2012TSMD;
319466;TRANS LMBT3904LT1G-SOT23 SMD;
319475;TRANS LMBT3906LT1G-SOT23 SMD;
319484;TRANS PMBT3904-SOT23 SMD;
337794;DIODO SCH BAT54C SOT23 L43/W1;
337865;CAP CERA 101 J 50V NP0 1005;
337883;CAP CERA 103 K 25V X7R 1005;
337909;CAP CERA 106 K 16V X5R 2012;
337990;CAP CERA 22R J 50V NP0 1005;
338034;CAP CERA 331 K 50V X7R 1005;
338043;CAP CERA 332 K 50V X7R 1005;
338061;CAP CERA 473 K 25V X7R 1005;
338089;CAP CERA 561 K 50V X7R 1005;
338347;RES META 0R0 J 1/16W 1005;
338356;RES META 101 J 1/10W 2012;
338365;RES META 101 J 1/16W 1005;
338392;RES META 102 J 1/16W 1005;
338409;RES META 103 J 1/16W 1005;
338418;RES META 104 J 1/16W 1005;
